"name","date","total","additions","deletions","sha"
"DiegoRamirezFuente","2021-05-28T15:12:32Z",0,0,0,"02e3f21df360ed0bf818e3a0db58b425c6c0cd2d"
"DiegoRamirezFuente","2021-05-28T15:12:01Z",0,0,0,"fd9699e8bdc4201616abe45cb16d5961ec935efb"
"Laura","2021-05-28T11:43:33Z",81,0,81,"feec6d745acfcaf919f021e690649ddd1fe5c6a7"
"Laura","2021-05-28T11:41:58Z",184,0,184,"15490429f5859c2ba45f8a1032a14df431c46a18"
"Laura","2021-05-28T11:41:50Z",349,0,349,"444104f96585152330d89e2cbf9aad7d1752ecd9"
"Laura","2021-05-28T11:41:20Z",31,0,31,"3ba6c93c48ba3a41c3a293fbb11805ab8ca715d8"
"Laura","2021-05-28T11:40:14Z",739,739,0,"38474f79e73fae56bc912d43e7ceb4b1a8df544f"
"DiegoRamirezFuente","2021-05-24T19:06:50Z",0,0,0,"8435dbcf49fc1863f73a919e47e63689890eff28"
"DiegoRamirezFuente","2021-05-24T19:06:36Z",0,0,0,"e9bae2d7ced2478e469de60eb2dcf677e590925f"
"Laura","2021-05-24T12:26:36Z",145,71,74,"d26ca8a0e9888a4b31c1c562caf7d6f410eed854"
"Laura","2021-05-24T12:25:19Z",34,4,30,"d557d5099e3590c7fbc6f5587ed25c706b50d617"
"Laura","2021-05-23T17:20:04Z",371,254,117,"7e2960bca925b7c4e3bfb3caad6508d05a47a1fa"
"Laura","2021-05-23T16:37:37Z",22,19,3,"09d6171bce36a3f8e8a0f74c3545b771bce27090"
"Laura","2021-05-23T15:16:58Z",170,104,66,"631b1019888a53c85abf53797919a6d29d715f1e"
"Laura","2021-05-07T11:04:00Z",127,96,31,"96ed224bfede72f5152fc1ba1aab9f29f28cc56f"
"Laura","2021-05-07T11:01:58Z",95,67,28,"d2efe4a4b95a94c4d24ac4a23e6e5b12179aca2a"
"Laura","2021-05-06T19:39:08Z",57,38,19,"5a164b6418dbeb6b9e70ba000252600e92f95ab9"
"Laura","2021-05-05T13:32:33Z",10,6,4,"dd939b84c24755e7943f835a2fab3039c8661a95"
"Laura","2021-05-05T13:27:21Z",129,129,0,"f1fd1e31a9223f0cb6cb8a184eda581f823aaa2e"
"DiegoRamirezFuente","2021-04-28T19:07:00Z",0,0,0,"3e4095de0a335803c06a22006906ea72ab48fd49"
"DiegoRamirezFuente","2021-04-28T19:05:02Z",0,0,0,"997f0347e7437646e897f4d8ca85f3df2e6f274d"
"rodrimarvar","2021-04-26T16:43:18Z",31,31,0,"b30e0d5840755e4b83bc0a40efa826ce66ae8238"
"Laura","2021-04-25T15:58:45Z",3,3,0,"d2c0ae1b4af33515428a45aae62133487d48719f"
"Laura","2021-04-25T15:55:29Z",19,16,3,"3805675d412fc9af402c758f12d4f0fbd41e2eda"
"Laura","2021-04-25T11:23:54Z",75,57,18,"b540f83110ae182fd8431c796a3af1141ff31acb"
"Laura","2021-04-22T20:39:48Z",4,2,2,"c26cca03d0465450f51df6e4d5716dccbcd21ed0"
"Laura","2021-04-22T20:39:05Z",38,23,15,"183c2ba2173f2b2760e2bfd6e48b6ddb30a10c4d"
"rodrimarvar","2021-04-22T19:56:52Z",73,73,0,"46eadd17f965851b3bd5436ee30b71526a2835d4"
"Laura","2021-04-10T11:16:55Z",1,0,1,"bc61dc436f727d71328f8c8e61d13d85a37769f2"
"Laura","2021-04-10T11:10:53Z",62,62,0,"866fac88106235282783708a89bf728bab7e25e6"
"Laura","2021-03-10T22:20:14Z",3,1,2,"9739dec042ccd4f9dc731791a85c8e441c28e1b5"
"Gabi","2021-03-10T18:31:13Z",2,1,1,"52a023751c7eadb5d47cfc44ba3a4e73f36559d9"
"Laura","2021-03-10T18:28:59Z",1,1,0,"f60d5b2e9d3b1fb2026776bb5d70c8ae6d03be8c"
"Laura","2021-03-10T18:24:48Z",2,1,1,"3a8b4ea7fdf47bed69d346d045a39b261002e3b6"
"gabrieltur","2021-03-10T12:42:05Z",1,1,0,"6e5c557772ed19d2dd4815f68822a857afe69255"
"Laura","2021-03-09T19:18:30Z",4,2,2,"2db12b45e2dfa8b7e6ffd4f64115bc5daaeb9536"
"github-classroom[bot]","2021-03-09T19:09:11Z",737,737,0,"0c942d40952a4a8c1d8f244a1bd59f3266ea07c9"
